device_id,name,group,type,ip_address,port,username,name_matches,ip_kind_matches
a9fe637c-935e-4737-9181-56bdc4b4e27a,OLT HUAWEI - MARANGUAPE II,Vibe,OLT Huawei,187.17.137.188,23755,sgpolt,0,16
3283b088-3cf9-4aaf-971b-b14efbc2e63b,Borda - PAULISTA,Mais.Net,MikroTik RouterOS,170.79.170.0,15422,ajust,0,0
7ee8b903-a5f3-454f-8300-73f21dad57cc,Rb 4011 Cond Eco Cais,Rio Net,MikroTik RouterOS,45.162.226.224,22426,ajust,0,0
202a33e7-c398-4b59-bebc-ecd0e0483980,CCR-1036-PONTO_NET,Ponto Net,MikroTik RouterOS,45.168.153.220,1022,ajust,0,0
1a4da953-5ca5-4b3d-8417-dbda380e65d6,CRS317,Infortec,MikroTik RouterOS,187.86.163.14,22622,ajust,0,0
d7f1296a-66d0-4936-bc05-c5ecb6192df1,RB-MUNDONET-CORTES,Mundo Net,MikroTik RouterOS,179.42.37.40,15423,ajust,0,0
65cc37c4-958f-407b-9bf5-d1ab6f50c03f,ELO TELECOM - ROUTER - HW NE8000 SLZ ELO RT08 AUT,Elo,Router Huawei,192.168.110.100,22,ajustconsulting,0,0
1c279327-836d-4224-86c3-91bba69263c7,CCR3011 - GERÊNCIA,AF Telecom,MikroTik RouterOS,179.51.148.10,15422,ajust,0,0
6868324c-04c6-43cc-932c-ac9f3b427da3,VOICE CORP - ROUTER - HW NE8000 BORDA,Voice Corp,Router Huawei,190.89.34.1,27036,ajustconsulting,0,0
3a813810-2b27-4d66-9ad9-55084dbb8228,OLT Parks,Oga Fibra Telecom,Olt Parks,179.51.151.48,7188,admin,0,0
286be0fb-788d-411d-a979-540487e822fb,Rb 4011 Gerencia,GL Soluções,MikroTik RouterOS,45.191.104.10,22333,ajust,0,0
79364a69-f4f9-4357-b6ae-dfb84bfac25d,CCR 1036 EVENTOS HOTSPOT,I4 Telecom,MikroTik RouterOS,45.187.168.208,15422,ajust,0,0
fe1eee67-48fe-48de-8eb8-fce4f2725167,RB BORDA JANGA,AF Telecom,MikroTik RouterOS,179.51.150.14,15422,ajust,0,0
a5f988a1-8669-4e73-aee4-06669a1ee29f,RB 2011 ARQUIDIOCESE,I4 Telecom,MikroTik RouterOS,45.187.170.100,15422,ajust,0,0
0809b913-a3de-4cbf-8d67-3ecdeb3ed97c,VSOL-EPON CABO,G5 - Cabo,OLT VSOL,45.187.19.24,8676,tiago,0,0
7a89f0a7-0949-44d6-8030-e081128e65f5,CONCENTRADOR MULTINET CURADO 1036,MULTNET,MikroTik RouterOS,200.81.55.129,13563,backup,0,0
bb3f2b65-0646-4d40-8be5-a541c3dde23f,Autenticador Caxanga 02,Cavalcanti Net,MikroTik RouterOS,45.164.11.10,41002,ajust,0,0
1b363a80-cb35-4a09-ac6c-e5a6bb7312dd,CGNAT MCNET,MCNet,MikroTik RouterOS,45.164.10.128,15422,ajust,0,0
6afc03e4-77d9-44f7-921d-15325b487fcc,Rb 4011 Bar da Praia,Rio Net,MikroTik RouterOS,45.162.227.24,15422,ajust,0,0
686de333-5f80-4f84-9bd6-90e6e0d654c1,OLT ZTE TAQUIRI C610,Infotel,OLT ZTE,164.163.230.8,2222,zte,0,0
d744e936-21de-4cc2-a09d-bfece3eb838f,BNG-REALNET-NM,Real Net,MikroTik RouterOS,170.81.76.175,2222,ajustconsulting,0,0
cb162906-7925-4dc3-9a69-1f6990b2db08,Concentrador PONTE DIGITAL,Ponte Digital,MikroTik RouterOS,170.80.48.7,15422,ajust,0,0
3d59ba22-ba46-40cc-8d22-10d95aa8e78a,MGN FIBRA - ROUTER - HW NE8000 AUT/BORDA,MGN Fibra,Router Huawei,45.235.104.2,26741,sgpmgn,0,0
2e816b41-e715-42f9-a6ba-d1fc2211e524,CCR 1036 Concentrador Sitio Frazao,PGI Telecom,MikroTik RouterOS,177.125.8.214,2223,ajust,0,0
996ae133-e0a3-4ea7-b1fc-e7038698788c,CCR 1036 Gerência,Meganet,MikroTik RouterOS,45.176.56.240,2281,backup-user,0,0
33aadd1a-b826-4bff-887e-6bf1b13dee3d,OLT HUAWEI - ARTHUR / PARATIBE,Vibe,OLT Huawei,187.17.137.188,23744,acessosgp,0,16
ba3366e4-c368-4976-9b61-a1d7ce037cd1,BORDA-INFONET,Grupo Telecom,MikroTik RouterOS,181.225.168.128,15422,ajust,0,0
d780fbf5-1698-4f9c-b1aa-9b1a3d7143b8,RB 3011,Escola Arcos Iris,MikroTik RouterOS,170.78.96.33,22552,ajust,0,0
672ba87e-6039-4f7c-9ea0-271d9d068840,*SW-CRS MIRUEIRA,AF Telecom,MikroTik RouterOS,179.51.150.12,8409,ajust,0,0
98b53f48-c1ff-4ca5-9a7b-749abb2e827e,CCR1009 - CONCENTRADOR BONANÇA,G5 - Jaboatão,MikroTik RouterOS,192.141.105.16,2290,ajust,0,0
b9296df0-7df4-480f-bc4b-39d141baa0d4,RB Autenticador Beira Mar,AF Telecom,MikroTik RouterOS,179.51.151.0,15433,ajust,0,0
f70caaaa-7ca9-4c7d-908e-c3cf3bbe3218,RB 1036 - Firewall-CGNAT-BKP,Cyber Net,MikroTik RouterOS,170.80.112.2,15422,ajust,0,0
648e144a-0177-4f4b-b74a-e355a427191f,CCR1036 - CGNAT,Maxima Net,MikroTik RouterOS,45.164.8.10,15422,ajust,0,0
17363b3d-ec13-4de8-ae3c-d3828d13e0a0,OLT EPON C-DATA EPON TIUMA,Infortec,OLT CDATA,187.86.163.178,12327,admin,0,0
08d62b51-ffd0-4437-ab29-9329c1236bd9,CCR-1036-EVENTO-VIBE,FlashNet,MikroTik RouterOS,168.194.15.84,15422,ajust,0,0
c1c3e09b-241f-4bbc-81c4-e98eba491c03,CE 01 UPNET,RCR Telecom,MikroTik RouterOS,45.186.54.64,2250,ajust,0,0
624a1984-d50a-4fe8-87f3-460fd0553186,MikroTik RB 760 (ISP Game),Pix Fibra,MikroTik RouterOS,10.31.255.226,22,ajust@emfibra,0,0
